Accession,Organism_Name,GenBank_RefSeq,Assembly,Submitters,Organization,Org_location,Release_Date,Isolate,Species,Length,Nuc_Completeness,Geo_Location,USA,Host,Tissue_Specimen_Source,Collection_Date
NC_049348,Lactococcus lactis phage p272,RefSeq,GCF_002592965.1,"Mahony,J., Kot,W., Murphy,J., Ainsworth,S., Neve,H., Hansen,L.H., Heller,K.J., Sorensen,S.J., Hammer,K., Cambillau,C., Vogensen,F.K., van Sinderen,D., Soerensen,S.J.","National Center for Biotechnology Information, NIH",USA,7/3/20,,Skunavirus p272,30778,complete,,,Lactococcus lactis,,
NC_049349,Lactococcus lactis phage P475,RefSeq,GCF_002592985.1,"Mahony,J., Kot,W., Murphy,J., Ainsworth,S., Neve,H., Hansen,L.H., Heller,K.J., Sorensen,S.J., Hammer,K., Cambillau,C., Vogensen,F.K., van Sinderen,D., Soerensen,S.J.","National Center for Biotechnology Information, NIH",USA,7/3/20,,Skunavirus P475,30961,complete,,,Lactococcus lactis,,
NC_049351,Lactococcus phage CaseusJM1,RefSeq,GCF_002592865.1,"Murphy,J., Mahony,J., van Sinderen,D.","National Center for Biotechnology Information, NIH",USA,7/3/20,,Skunavirus caseusJM1,30692,complete,Ireland,,Lactococcus cremoris,,1/1/09
NC_049352,Lactococcus phage phi15,RefSeq,GCF_002593025.1,"Murphy,J., Klumpp,J., Mahony,J., O'Connell-Motherway,M., Nauta,A., van Sinderen,D.","National Center for Biotechnology Information, NIH",USA,7/3/20,,Skunavirus sv15,31945,complete,Ireland: Cork,,Lactococcus,,
NC_049353,Lactococcus phage phi145,RefSeq,GCF_002593065.1,"Murphy,J., Klumpp,J., Mahony,J., O'Connell-Motherway,M., Nauta,A., van Sinderen,D.","National Center for Biotechnology Information, NIH",USA,7/3/20,,Skunavirus sv145,30862,complete,Ireland: Cork,,Lactococcus,,
NC_049354,Lactococcus phage 936 group phage PhiA.16,RefSeq,GCF_002593105.1,"Murphy,J., Bottacini,F., Mahony,J., Kelleher,P., Neve,H., Zomer,A., Nauta,A., van Sinderen,D.","National Center for Biotechnology Information, NIH",USA,7/3/20,,Skunavirus A16,28349,complete,Netherlands,,Lactococcus lactis,,
NC_049355,Lactococcus phage 936 group phage PhiB1127,RefSeq,GCF_002593145.1,"Murphy,J., Bottacini,F., Mahony,J., Kelleher,P., Neve,H., Zomer,A., Nauta,A., van Sinderen,D.","National Center for Biotechnology Information, NIH",USA,7/3/20,,Skunavirus B1127,28785,complete,Netherlands,,Lactococcus lactis,,
NC_049356,Lactococcus phage 936 group phage Phi19.3,RefSeq,GCF_002593165.1,"Murphy,J., Bottacini,F., Mahony,J., Kelleher,P., Neve,H., Zomer,A., Nauta,A., van Sinderen,D.","National Center for Biotechnology Information, NIH",USA,7/3/20,,Skunavirus sv193,28811,complete,Netherlands,,Lactococcus lactis,,
NC_049357,Lactococcus phage 936 group phage Phi5.12,RefSeq,GCF_002593225.1,"Murphy,J., Bottacini,F., Mahony,J., Kelleher,P., Neve,H., Zomer,A., Nauta,A., van Sinderen,D.","National Center for Biotechnology Information, NIH",USA,7/3/20,,Skunavirus sv512,29026,complete,Netherlands,,Lactococcus lactis,,
NC_049358,Lactococcus phage 936 group phage PhiF0139,RefSeq,GCF_002593405.1,"Murphy,J., Bottacini,F., Mahony,J., Kelleher,P., Neve,H., Zomer,A., Nauta,A., van Sinderen,D.","National Center for Biotechnology Information, NIH",USA,7/3/20,,Skunavirus F0139,30811,complete,Netherlands,,Lactococcus lactis,,
NC_049359,Lactococcus phage 936 group phage PhiL.18,RefSeq,GCF_002593425.1,"Murphy,J., Bottacini,F., Mahony,J., Kelleher,P., Neve,H., Zomer,A., Nauta,A., van Sinderen,D.","National Center for Biotechnology Information, NIH",USA,7/3/20,,Skunavirus L18,30882,complete,Netherlands,,Lactococcus lactis,,
NC_049360,Lactococcus phage 936 group phage Phi109,RefSeq,GCF_002593445.1,"Murphy,J., Bottacini,F., Mahony,J., Kelleher,P., Neve,H., Zomer,A., Nauta,A., van Sinderen,D.","National Center for Biotechnology Information, NIH",USA,7/3/20,,Skunavirus sv109,31033,complete,Netherlands,,Lactococcus lactis,,
NC_049361,Lactococcus phage 936 group phage PhiL.6,RefSeq,GCF_002593465.1,"Murphy,J., Bottacini,F., Mahony,J., Kelleher,P., Neve,H., Zomer,A., Nauta,A., van Sinderen,D.","National Center for Biotechnology Information, NIH",USA,7/3/20,,Skunavirus L6,31181,complete,Netherlands,,Lactococcus lactis,,
NC_049362,Lactococcus phage 936 group phage Phi4.2,RefSeq,GCF_002593485.1,"Murphy,J., Bottacini,F., Mahony,J., Kelleher,P., Neve,H., Zomer,A., Nauta,A., van Sinderen,D.","National Center for Biotechnology Information, NIH",USA,7/3/20,,Skunavirus sv42,31375,complete,Netherlands,,Lactococcus lactis,,
NC_049363,Lactococcus phage 936 group phage Phi44,RefSeq,GCF_002593505.1,"Murphy,J., Bottacini,F., Mahony,J., Kelleher,P., Neve,H., Zomer,A., Nauta,A., van Sinderen,D.","National Center for Biotechnology Information, NIH",USA,7/3/20,,Skunavirus sv44,31379,complete,Netherlands,,Lactococcus lactis,,
NC_049364,Lactococcus phage 936 group phage Phi91127,RefSeq,GCF_002593525.1,"Murphy,J., Bottacini,F., Mahony,J., Kelleher,P., Neve,H., Zomer,A., Nauta,A., van Sinderen,D.","National Center for Biotechnology Information, NIH",USA,7/3/20,,Skunavirus sv91127,31495,complete,Netherlands,,Lactococcus lactis,,
NC_049365,Lactococcus phage 936 group phage PhiJF1,RefSeq,GCF_002593605.1,"Murphy,J., Bottacini,F., Mahony,J., Kelleher,P., Neve,H., Zomer,A., Nauta,A., van Sinderen,D.","National Center for Biotechnology Information, NIH",USA,7/3/20,,Skunavirus JF1,31901,complete,Netherlands,,Lactococcus lactis,,
NC_049366,Lactococcus phage 936 group phage Phi155,RefSeq,GCF_002593625.1,"Murphy,J., Bottacini,F., Mahony,J., Kelleher,P., Neve,H., Zomer,A., Nauta,A., van Sinderen,D.","National Center for Biotechnology Information, NIH",USA,7/3/20,,Skunavirus sv155,32150,complete,Netherlands,,Lactococcus lactis,,
NC_049367,Lactococcus phage 936 group phage PhiE1127,RefSeq,GCF_002593645.1,"Murphy,J., Bottacini,F., Mahony,J., Kelleher,P., Neve,H., Zomer,A., Nauta,A., van Sinderen,D.","National Center for Biotechnology Information, NIH",USA,7/3/20,,Skunavirus E1127,32270,complete,Netherlands,,Lactococcus lactis,,
NC_049368,Lactococcus phage 936 group phage PhiM1127,RefSeq,GCF_002593665.1,"Murphy,J., Bottacini,F., Mahony,J., Kelleher,P., Neve,H., Zomer,A., Nauta,A., van Sinderen,D.","National Center for Biotechnology Information, NIH",USA,7/3/20,,Skunavirus M1127,32682,complete,Netherlands,,Lactococcus lactis,,
NC_049369,Lactococcus phage 936 group phage PhiLj,RefSeq,GCF_002593685.1,"Murphy,J., Bottacini,F., Mahony,J., Kelleher,P., Neve,H., Zomer,A., Nauta,A., van Sinderen,D.","National Center for Biotechnology Information, NIH",USA,7/3/20,,Skunavirus Lj,28983,complete,Netherlands,,Lactococcus lactis,,
NC_049370,Lactococcus phage 936 group phage PhiS0139,RefSeq,GCF_002593705.1,"Murphy,J., Bottacini,F., Mahony,J., Kelleher,P., Neve,H., Zomer,A., Nauta,A., van Sinderen,D.","National Center for Biotechnology Information, NIH",USA,7/3/20,,Skunavirus S0139,30116,complete,Netherlands,,Lactococcus lactis,,
NC_049373,Lactococcus phage 16W23,RefSeq,GCF_003862015.1,"Hayes,S.","National Center for Biotechnology Information, NIH",USA,7/3/20,,Skunavirus sv16W23,32477,complete,,,Lactococcus lactis subsp. lactis bv. diacetylactis,,
NC_049374,Lactococcus phage 10W18,RefSeq,GCF_002954815.1,"Hayes,S.","National Center for Biotechnology Information, NIH",USA,7/3/20,,Skunavirus sv10W18,32393,complete,,,Lactococcus lactis,,
NC_049375,Lactococcus phage i0139,RefSeq,GCF_002954895.1,"Hayes,S.","National Center for Biotechnology Information, NIH",USA,7/3/20,,Skunavirus i0139,29513,complete,,,Lactococcus lactis,,
NC_049376,Lactococcus phage 3R16S,RefSeq,GCF_002954855.1,"Hayes,S.","National Center for Biotechnology Information, NIH",USA,7/3/20,,Skunavirus sv3R16S,30446,complete,,,Lactococcus lactis,,
NC_049377,Lactococcus phage 13W11L,RefSeq,GCF_002954835.1,"Hayes,S.","National Center for Biotechnology Information, NIH",USA,7/3/20,,Skunavirus sv13W11L,29952,complete,,,Lactococcus lactis,,
NC_049381,Lactococcus phage R31,RefSeq,GCF_002620705.1,"Mahony,J., Moscarelli,A., Kelleher,P., Lugli,G.A., Ventura,M., Settanni,L., van Sinderen,D.","National Center for Biotechnology Information, NIH",USA,7/3/20,,Skunavirus R31,27203,complete,Italy,,Lactococcus lactis,,
NC_049385,Peduovirus P22H4,RefSeq,GCF_902141565.1,"Petit,M.-A., Lossouarn,J.","National Center for Biotechnology Information, NIH",USA,7/3/20,,Peduovirus P22H4,31342,complete,,,Escherichia coli,,
NC_049386,Peduovirus P22H1,RefSeq,GCF_902141575.1,"Petit,M.-A., Lossouarn,J.","National Center for Biotechnology Information, NIH",USA,7/3/20,,Peduovirus P22H1,32662,complete,,,Escherichia coli,,
NC_049387,Peduovirus P24B2,RefSeq,GCF_902141595.1,"Petit,M.-A., Lossouarn,J.","National Center for Biotechnology Information, NIH",USA,7/3/20,,Peduovirus P24B2,32118,complete,,,Escherichia coli,,
NC_049388,Peduovirus P24C9,RefSeq,GCF_902141685.1,"Petit,M.-A., Lossouarn,J.","National Center for Biotechnology Information, NIH",USA,7/3/20,,Peduovirus P24C9,32150,complete,,,Escherichia coli,,
NC_049389,Peduovirus P24E6b,RefSeq,GCF_902141635.1,"Petit,M.-A., Lossouarn,J.","National Center for Biotechnology Information, NIH",USA,7/3/20,,Peduovirus P24E6b,31128,complete,,,Escherichia coli,,
NC_049390,Peduovirus P24A7b,RefSeq,GCF_902141755.1,"Petit,M.-A., Lossouarn,J.","National Center for Biotechnology Information, NIH",USA,7/3/20,,Peduovirus P24A7b,32848,complete,,,Escherichia coli,,
NC_049392,Escherichia phage ESSI2_ev239,RefSeq,GCF_902150575.1,"Petit,M.-A., Lossouarn,J.","National Center for Biotechnology Information, NIH",USA,7/3/20,,Evevirus ev239,29203,complete,,,Escherichia coli,,
NC_049393,Escherichia phage ESSI2_ev040,RefSeq,GCF_902150585.1,"Petit,M.-A., Lossouarn,J.","National Center for Biotechnology Information, NIH",USA,7/3/20,,Quadragintavirus ev040,30597,complete,,,Escherichia coli,,
NC_049394,Escherichia phage ESSI2_ev129,RefSeq,GCF_902150665.1,"Petit,M.-A., Lossouarn,J.","National Center for Biotechnology Information, NIH",USA,7/3/20,,Quadragintavirus ev129,30927,complete,,,Escherichia coli,,
NC_049395,Escherichia phage ESSI2_ev015,RefSeq,GCF_902150595.1,"Petit,M.-A., Lossouarn,J.","National Center for Biotechnology Information, NIH",USA,7/3/20,,Quadragintavirus ev015,30584,complete,,,Escherichia coli,,
NC_049397,Lactococcus phage 05601,RefSeq,GCF_003389515.1,"Oliveira,J.","National Center for Biotechnology Information, NIH",USA,7/3/20,,Skunavirus sv05601,32895,complete,,,Lactococcus lactis,,
NC_049398,Lactococcus phage 16802,RefSeq,GCF_003389535.1,"Oliveira,J.","National Center for Biotechnology Information, NIH",USA,7/3/20,,Skunavirus sv16802,28721,complete,,,Lactococcus lactis,,
NC_049399,Lactococcus phage 30804,RefSeq,GCF_003389555.1,"Oliveira,J.","National Center for Biotechnology Information, NIH",USA,7/3/20,,Skunavirus sv30804,30401,complete,,,Lactococcus lactis,,
NC_049400,Lactococcus phage 37201,RefSeq,GCF_003389575.1,"Oliveira,J.","National Center for Biotechnology Information, NIH",USA,7/3/20,,Skunavirus sv37201,30989,complete,,,Lactococcus lactis,,
NC_049401,Lactococcus phage 38503,RefSeq,GCF_003389595.1,"Oliveira,J.","National Center for Biotechnology Information, NIH",USA,7/3/20,,Skunavirus sv38503,27948,complete,,,Lactococcus lactis,,
NC_049402,Lactococcus phage 38507,RefSeq,GCF_003389615.1,"Oliveira,J.","National Center for Biotechnology Information, NIH",USA,7/3/20,,Skunavirus sv38507,32458,complete,,,Lactococcus lactis,,
NC_049403,Lactococcus phage 51701,RefSeq,GCF_003389475.1,"Oliveira,J.","National Center for Biotechnology Information, NIH",USA,7/3/20,,Skunavirus sv51701,32529,complete,,,Lactococcus lactis,,
NC_049404,Lactococcus phage 56003,RefSeq,GCF_003389635.1,"Oliveira,J.","National Center for Biotechnology Information, NIH",USA,7/3/20,,Skunavirus sv56003,30926,complete,,,Lactococcus lactis,,
NC_049405,Lactococcus phage 56301,RefSeq,GCF_003389655.1,"Oliveira,J.","National Center for Biotechnology Information, NIH",USA,7/3/20,,Skunavirus sv56301,32555,complete,,,Lactococcus lactis,,
NC_049406,Lactococcus phage 57001,RefSeq,GCF_003389675.1,"Oliveira,J.","National Center for Biotechnology Information, NIH",USA,7/3/20,,Skunavirus sv57001,31819,complete,,,Lactococcus lactis,,
NC_049407,Lactococcus phage 62601,RefSeq,GCF_003389695.1,"Oliveira,J.","National Center for Biotechnology Information, NIH",USA,7/3/20,,Skunavirus sv62601,30852,complete,,,Lactococcus lactis,,
NC_049408,Lactococcus phage 62605,RefSeq,GCF_003389715.1,"Oliveira,J.","National Center for Biotechnology Information, NIH",USA,7/3/20,,Skunavirus sv62605,31014,complete,,,Lactococcus lactis,,
NC_049409,Lactococcus phage 63302,RefSeq,GCF_003389735.1,"Oliveira,J.","National Center for Biotechnology Information, NIH",USA,7/3/20,,Skunavirus sv63302,31883,complete,,,Lactococcus lactis,,
NC_049410,Lactococcus phage 66901,RefSeq,GCF_003389755.1,"Oliveira,J.","National Center for Biotechnology Information, NIH",USA,7/3/20,,Skunavirus sv66901,28917,complete,,,Lactococcus lactis,,
NC_049411,Lactococcus phage 79201,RefSeq,GCF_003389775.1,"Oliveira,J.","National Center for Biotechnology Information, NIH",USA,7/3/20,,Skunavirus sv79201,31123,complete,,,Lactococcus lactis,,
NC_049412,Lactococcus phage 88605,RefSeq,GCF_003389795.1,"Oliveira,J.","National Center for Biotechnology Information, NIH",USA,7/3/20,,Skunavirus sv88605,31508,complete,,,Lactococcus lactis,,
NC_049413,Lactococcus phage 96401,RefSeq,GCF_003389815.1,"Oliveira,J.","National Center for Biotechnology Information, NIH",USA,7/3/20,,Skunavirus sv96401,29306,complete,,,Lactococcus lactis,,
NC_049414,Lactococcus phage 96403,RefSeq,GCF_003389835.1,"Oliveira,J.","National Center for Biotechnology Information, NIH",USA,7/3/20,,Skunavirus sv96403,26874,complete,,,Lactococcus lactis,,
NC_049415,Lactococcus phage 96603,RefSeq,GCF_003389495.1,"Oliveira,J.","National Center for Biotechnology Information, NIH",USA,7/3/20,,Skunavirus sv96603,30690,complete,,,Lactococcus lactis,,
NC_049416,Lactococcus phage LP8511,RefSeq,GCF_002955555.1,"Kupczok,A., Neve,H., Huang,K.D., Hoeppner,M.P., Heller,K.J., Franz,C.M.A.P., Dagan,T.","National Center for Biotechnology Information, NIH",USA,7/3/20,,Skunavirus LP8511,29953,complete,Germany,,Lactococcus lactis,,1985-11
NC_049417,Lactococcus phage LP9207,RefSeq,GCF_002955625.1,"Kupczok,A., Neve,H., Huang,K.D., Hoeppner,M.P., Heller,K.J., Franz,C.M.A.P., Dagan,T.","National Center for Biotechnology Information, NIH",USA,7/3/20,,Skunavirus LP9207,29203,complete,Germany,,Lactococcus lactis,,1992-07
NC_049418,Lactococcus phage LP9404,RefSeq,GCF_002955645.1,"Kupczok,A., Neve,H., Huang,K.D., Hoeppner,M.P., Heller,K.J., Franz,C.M.A.P., Dagan,T.","National Center for Biotechnology Information, NIH",USA,7/3/20,,Skunavirus LP9404,30072,complete,Germany,,Lactococcus lactis,,1994-04
NC_049419,Lactococcus phage LP9609,RefSeq,GCF_002955685.1,"Kupczok,A., Neve,H., Huang,K.D., Hoeppner,M.P., Heller,K.J., Franz,C.M.A.P., Dagan,T.","National Center for Biotechnology Information, NIH",USA,7/3/20,,Skunavirus LP9609,30945,complete,Germany,,Lactococcus lactis,,1996-09
NC_049420,Lactococcus phage LP9903,RefSeq,GCF_002955715.1,"Kupczok,A., Neve,H., Huang,K.D., Hoeppner,M.P., Heller,K.J., Franz,C.M.A.P., Dagan,T.","National Center for Biotechnology Information, NIH",USA,7/3/20,,Skunavirus LP9903,29557,complete,Germany,,Lactococcus lactis,,1999-03
NC_049421,Lactococcus phage LP9908,RefSeq,GCF_002955725.1,"Kupczok,A., Neve,H., Huang,K.D., Hoeppner,M.P., Heller,K.J., Franz,C.M.A.P., Dagan,T.","National Center for Biotechnology Information, NIH",USA,7/3/20,,Skunavirus LP9908,29668,complete,Germany,,Lactococcus lactis,,1999-08
NC_049422,Lactococcus phage LP0209,RefSeq,GCF_002955795.1,"Kupczok,A., Neve,H., Huang,K.D., Hoeppner,M.P., Heller,K.J., Franz,C.M.A.P., Dagan,T.","National Center for Biotechnology Information, NIH",USA,7/3/20,,Skunavirus LP0209,30339,complete,Germany,,Lactococcus lactis,,2002-09
NC_049423,Lactococcus phage LP0903,RefSeq,GCF_002955845.1,"Kupczok,A., Neve,H., Huang,K.D., Hoeppner,M.P., Heller,K.J., Franz,C.M.A.P., Dagan,T.","National Center for Biotechnology Information, NIH",USA,7/3/20,,Skunavirus LP0903,31049,complete,Germany,,Lactococcus lactis,,2009-03
NC_049424,Lactococcus phage LP1502a,RefSeq,GCF_002955895.1,"Kupczok,A., Neve,H., Huang,K.D., Hoeppner,M.P., Heller,K.J., Franz,C.M.A.P., Dagan,T.","National Center for Biotechnology Information, NIH",USA,7/3/20,,Skunavirus LP1502a,30247,complete,Germany,,Lactococcus lactis subsp. lactis Il1403,,2015-02
NC_049425,Lactococcus phage vB_Llc_bIBB5g1,RefSeq,GCF_003288555.1,"Chmielewska-Jeznach,M., Bardowski,J.K., Szczepankowska,A.K., Szczepankowska,A., Bardowski,J.","National Center for Biotechnology Information, NIH",USA,7/3/20,,Skunavirus bIBB5g1,30132,complete,,,Lactococcus lactis,,
NC_049426,Lactococcus phage vB_Llc_bIBBF12,RefSeq,GCF_003288655.1,"Chmielewska-Jeznach,M., Bardowski,J.K., Szczepankowska,A.K., Szczepankowska,A., Bardowski,J.","National Center for Biotechnology Information, NIH",USA,7/3/20,,Skunavirus bIBBF12,29454,complete,,,Lactococcus lactis,,
NC_049429,Enterobacter phage phiT5282H,RefSeq,GCF_003613605.1,"Zhao,X.","National Center for Biotechnology Information, NIH",USA,7/3/20,,Novemvirus T5282H,31978,complete,,,Enterobacter cloacae,,
NC_049434,Lactococcus phage MP1,RefSeq,GCF_003862055.1,"Mahony,J., Lugli,G., Ventura,M., Vincentelli,R., Nauta,A., van Sinderen,D., Cambillau,C., Hayes,S.","National Center for Biotechnology Information, NIH",USA,7/3/20,,Skunavirus MP1,32575,complete,,,Lactococcus lactis subsp. lactis bv. diacetylactis,,
NC_049446,Lactococcus phage 8V08,RefSeq,GCF_005892485.1,"Hayes,S.","National Center for Biotechnology Information, NIH",USA,7/3/20,,Skunavirus sv8V08,32312,complete,,,Lactococcus lactis,,
NC_049447,Lactococcus phage MV10L,RefSeq,GCF_005892525.1,"Hayes,S.","National Center for Biotechnology Information, NIH",USA,7/3/20,,Skunavirus MV10L,31374,complete,,,Lactococcus lactis,,
NC_049449,Klebsiella phage ST437-OXA245phi4.2,RefSeq,GCF_005891765.1,"Bleriot,I., Guijarro,P., Trastoy,R., Blasco,L., Fernandez-Garcia,L., Ambroa,A., Perez-Nadales,E., Fernandez-Cuenca,F., Torre-Cisneros,J., Oteo,J., Oliver,A., Canton,R., Kidd,T., Navarro,F., Miro,E., Pascual,A., Bou,G., Martinez-Martinez,L.","National Center for Biotechnology Information, NIH",USA,7/3/20,,Felsduovirus ST437OXA245phi42,18281,complete,,,Klebsiella pneumoniae,,
NC_049452,Klebsiella phage ST512-KPC3phi13.2,RefSeq,GCF_004519775.1,"Bleriot,I., Guijarro,P., Trastoy,R., Blasco,L., Fernandez-Garcia,L., Ambroa,A., Perez-Nadales,E., Fernandez-Cuenca,F., Torre-Cisneros,J., Oteo,J., Oliver,A., Canton,R., Kidd,T., Navarro,F., Miro,E., Pascual,A., Bou,G., Martinez-Martinez,L., Tomas,M.","National Center for Biotechnology Information, NIH",USA,7/3/20,,Kapieceevirus ST512KPC3phi132,32302,complete,,,Klebsiella pneumoniae,,
NC_049454,Klebsiella phage ST15-OXA48phi14.1,RefSeq,GCF_005394165.1,"Bleriot,I., Guijarro,P., Trastoy,R., Blasco,L., Ambroa,A., Perez-Nadales,E., Fernandez-Cuenca,F., Torre-Cisneros,J., Oteo,J., Oliver,A., Canton,R., Kidd,T., Navarro,F., Miro,E., Pascual,A., Bou,G., Martinez-Martinez,L., Tomas,M.","National Center for Biotechnology Information, NIH",USA,7/3/20,,Gegavirus ST15OXA48phi141,33839,complete,,,Klebsiella pneumoniae,,
NC_049457,Escherichia phage vB_EcoM-12474III,RefSeq,GCF_009671425.1,"Pacifico,C., Hilbert,M., Sofka,D., Dinhopl,N., Pap,I.-J., Aspoeck,C., Carrico,J.A., Hilbert,F.","National Center for Biotechnology Information, NIH",USA,7/3/20,,Peduovirus pv12474III,33807,complete,Austria,,Escherichia coli,blood,3/26/18
NC_049459,Salmonella phage SW9,RefSeq,GCF_008227395.1,"Fong,K., Tremblay,D., Delaquis,P., Moineau,S., Goodridge,L., Levesque,R., Wang,S.","National Center for Biotechnology Information, NIH",USA,7/3/20,,Eganvirus SW9,31123,complete,Canada,,Salmonella sp.,,
NC_049460,Salmonella phage SI7,RefSeq,GCF_008227445.1,"Fong,K., Tremblay,D., Delaquis,P., Moineau,S., Goodridge,L., Levesque,R., Wang,S.","National Center for Biotechnology Information, NIH",USA,7/3/20,,Irrigatiovirus SI7,30164,complete,Canada,,Salmonella sp.,,
NC_049461,Bacteriophage R18C,RefSeq,GCF_009431915.1,"Svab,D., Horvath,B., Rohde,M., Maroti,G., Toth,I., Gergely,M.","National Center for Biotechnology Information, NIH",USA,7/3/20,,Peduovirus R18C,31834,complete,,,Oryctolagus cuniculus,,
NC_049474,Lactococcus phage P1532,RefSeq,GCF_011067305.1,"Brinks,E.","National Center for Biotechnology Information, NIH",USA,7/3/20,,Skunavirus P1532,29075,complete,,,Lactococcus lactis,,
NC_049475,Lactococcus phage P656,RefSeq,GCF_009685765.1,"Brinks,E.","National Center for Biotechnology Information, NIH",USA,7/3/20,,Skunavirus P656,28396,complete,,,Lactococcus lactis,,
NC_049476,Lactococcus phage P4565,RefSeq,GCF_009685785.1,"Brinks,E.","National Center for Biotechnology Information, NIH",USA,7/3/20,,Skunavirus P4565,32697,complete,,,Lactococcus lactis,,
NC_049477,Vibrio phage Valm-yong1,RefSeq,GCF_011106535.1,"Li,D., Qin,W., Tong,Y., Lin,W., Xu,L.","National Center for Biotechnology Information, NIH",USA,7/3/20,,Yongunavirus yong1,33851,complete,,,Vibrio alginolyticus,,
NC_049480,Lactococcus phage CHPC129,RefSeq,GCF_009745475.1,"Marcelli,B., de Jong,A., Kuipers,O.P.","National Center for Biotechnology Information, NIH",USA,7/3/20,,Skunavirus CHPC129,30832,complete,,,Lactococcus lactis,,
NC_049481,Lactococcus phage CHPC361,RefSeq,GCF_009745535.1,"Marcelli,B., de Jong,A., Kuipers,O.P.","National Center for Biotechnology Information, NIH",USA,7/3/20,,Skunavirus CHPC361,30162,complete,,,Lactococcus lactis,,
NC_049482,Lactococcus phage CHPC362,RefSeq,GCF_009745555.1,"Marcelli,B., de Jong,A., Kuipers,O.P.","National Center for Biotechnology Information, NIH",USA,7/3/20,,Skunavirus CHPC362,27642,complete,,,Lactococcus lactis,,
NC_049483,Lactococcus phage CHPC52,RefSeq,GCF_009745575.1,"Marcelli,B., de Jong,A., Kuipers,O.P.","National Center for Biotechnology Information, NIH",USA,7/3/20,,Skunavirus CHPC52,29652,complete,,,Lactococcus lactis,,
NC_049484,Lactococcus phage CHPC781,RefSeq,GCF_009745595.1,"Marcelli,B., de Jong,A., Kuipers,O.P.","National Center for Biotechnology Information, NIH",USA,7/3/20,,Skunavirus CHPC781,29218,complete,,,Lactococcus lactis,,
NC_049485,Lactococcus phage CHPC958,RefSeq,GCF_009745635.1,"Marcelli,B., de Jong,A., Kuipers,O.P.","National Center for Biotechnology Information, NIH",USA,7/3/20,,Skunavirus CHPC958,32653,complete,,,Lactococcus lactis,,
NC_049486,Lactococcus phage CHPC959,RefSeq,GCF_009745655.1,"Marcelli,B., de Jong,A., Kuipers,O.P.","National Center for Biotechnology Information, NIH",USA,7/3/20,,Skunavirus CHPC959,29340,complete,,,Lactococcus lactis,,
NC_049487,Lactococcus phage CHPC964,RefSeq,GCF_009745675.1,"Marcelli,B., de Jong,A., Kuipers,O.P.","National Center for Biotechnology Information, NIH",USA,7/3/20,,Skunavirus CHPC964,29925,complete,,,Lactococcus lactis,,
NC_049488,Lactococcus phage CHPC965,RefSeq,GCF_009745695.1,"Marcelli,B., de Jong,A., Kuipers,O.P.","National Center for Biotechnology Information, NIH",USA,7/3/20,,Skunavirus CHPC965,25327,complete,,,Lactococcus lactis,,
NC_048629,Clostridium phage CpV1,RefSeq,GCF_009673785.1,"Volozhantsev,N.V., Verevkin,V.V., Bannov,V.A., Krasilnikova,V.M., Myakinina,V.P., Zhilenkov,E.L., Svetoch,E.A., Stern,N.J., Oakley,B.B., Seal,B.S.","National Center for Biotechnology Information, NIH",USA,6/19/20,,Capvunavirus CpV1,16748,complete,,,Clostridium perfringens,,
NC_048661,Clostridium phage CPS1,RefSeq,GCF_002743535.1,"Ha,E., Ryu,S.","National Center for Biotechnology Information, NIH",USA,6/19/20,,Gregsiragusavirus CPS1,19089,complete,,,Clostridium perfringens,,
NC_048665,Clostridium phage phiCDHM14,RefSeq,GCF_003146985.1,"Hargreaves,K.R., Flores,C., Lawley,T.D., Clokie,M.R.J., Hargreaves,K.","National Center for Biotechnology Information, NIH",USA,6/19/20,,Sherbrookevirus CDHM14,32651,complete,United Kingdom,,Clostridium,,
NC_048707,Clostridium phage CPS2,RefSeq,GCF_003364375.1,"Ha,E., Son,B., Ryu,S.","National Center for Biotechnology Information, NIH",USA,6/19/20,,Brucesealvirus CPS2,17961,complete,,,Clostridium perfringens ATCC 13124,,
NC_048712,Clostridium phage susfortuna,RefSeq,GCF_003575845.1,"Kot,W., Ploeger,M., Pedersen,J., Hansen,L.H.","National Center for Biotechnology Information, NIH",USA,6/19/20,,Susfortunavirus susfortuna,19046,complete,Denmark,,Clostridium perfringens,,
NC_048738,Clostridium phage CPD2,RefSeq,GCF_008801235.1,"Shin,D., Ryu,S.","National Center for Biotechnology Information, NIH",USA,6/19/20,,Gregsiragusavirus CPD2,18212,complete,,,Clostridium perfringens,,
NC_048739,Arthrobacter phage Anjali,RefSeq,GCF_003722535.1,"Rimple,P.A., Stoner,T.H., Garlena,R.A., Russell,D.A., Pope,W.H., Jacobs-Sera,D., Hatfull,G.F.","National Center for Biotechnology Information, NIH",USA,6/19/20,,Anjalivirus anjali,19679,complete,"USA: Pittsburgh, PA",PA,Arthrobacter globiformis,,6/1/17
NC_048740,Arthrobacter phage Mendel,RefSeq,GCF_003722715.1,"Rimple,P.A., Stoner,T.H., Garlena,R.A., Russell,D.A., Pope,W.H., Jacobs-Sera,D., Hatfull,G.F.","National Center for Biotechnology Information, NIH",USA,6/19/20,,Anjalivirus mendel,19428,complete,"USA: Buffalo, New York",NY,Arthrobacter globiformis,,6/1/17
